,prefix,lat,lon,name,category,unique,total
72,mcca,29.646982,-82.34553100000001,Mccarty Hall A,academic,120,758
73,mccb,29.646753999999998,-82.34492,Mccarty Hall B,academic,50,631
74,mccc,29.646682000000002,-82.345338,Mccarty Hall C,academic,53,306
75,mccd,29.646459999999998,-82.344389,Mccarty Hall D,academic,66,208
76,mcg,29.636058000000002,-82.37084499999999,Mcguire Center,academic,29,141
77,mckl,29.648039,-82.346425,Microkelvin Laboratory,academic,30,79
78,mcsb,29.639963,-82.36288499999999,Microbiology/Cell Science,academic,88,486
79,meb,29.641979,-82.34407900000001,Harrell Medical Education Building,academic,369,1560
80,meh,29.632906,-82.361672,Mehrhof Hall,academic,104,226
81,msl,29.647957,-82.34390400000001,Marston Science Library,library,627,3868
82,mub,29.648244000000002,-82.342908,Music Building,academic,541,3588
83,mus,29.644484000000002,-82.3441,Dickinson Hall,academic,255,635
84,nano,29.642764,-82.34612299999999,Nanoscale Research,academic,97,348
85,neb,29.642287,-82.347076,New Engineering Building,unknown,135,2909
86,npb,29.643913,-82.349779,Physics,academic,218,1445
87,nrg,29.646251,-82.33796600000001,Norman Gym,sports,92,251
88,nrn,29.646946999999997,-82.338164,Norman Hall,academic,302,1104
89,nrna,29.646645,-82.337581,Norman Hall Addition,academic,164,1274
90,nsc,29.647381,-82.347996,Nuclear Sciences,academic,387,1602
91,nzh,29.645391999999998,-82.345778,Newins-Ziegler Hall,academic,117,451
92,ohl1,29.639753999999996,-82.358956,Ornamental Hort Laboratory 1,academic,0,0
93,ohl2,29.639824,-82.358554,Ornamental Hort Laboratory 2,academic,0,0
94,pcpa,29.635312,-82.369309,Phillips Center,social,136,1627
95,pdc,29.642947999999997,-82.369274,Physical Plant Central Stores,academic,21,44
96,phl,29.644585,-82.34878,Phelps Lab,academic,125,317
97,plsl,29.639079,-82.35834399999999,Agronomy Plant Science Lab,academic,1,2
98,pow,29.635726000000002,-82.370236,Powell Hall,museum,47,687
99,pres,29.648184000000004,-82.36085,Presidents Residence,housing,0,0
100,psf,29.639481,-82.359603,Plant Science Facility,academic,1,4
101,pst,29.641503999999998,-82.34788499999999,Particle Science & Technology,academic,12,31
102,psy,29.643418,-82.346266,Psychology,academic,59,201
103,pugh,29.649468,-82.345665,Pugh Hall,academic,149,466
104,rcd,29.650076000000002,-82.34634,Racquet Club Dining Center,social,250,926
105,rei,29.646386,-82.34779,Reitz Student Union,social,1489,21256
106,reiOrangeBrew,29.646386,-82.34779,Reitz Student Union,social,1489,21256
107,rfc,29.650147999999998,-82.346799,Student Recreation and Fit. Center,sports,149,1220
108,rhn,29.647253000000003,-82.348948,Rhines Hall,academic,196,860
109,rl1,29.6331705,-82.361041,Research Laboratorys,academic,0,0
110,rla,29.647983,-82.34810999999999,Reed Lab,academic,134,264
111,rnk,29.646965,-82.34319599999999,Rinker Hall,academic,34,415
112,rog,29.644495000000003,-82.345433,Rogers Frazier Hall,academic,384,1378
113,rol,29.649259000000004,-82.344494,Rolfs Hall,academic,174,649
114,sbh,29.647646999999996,-82.342621,Steinbrenner,social,123,764
115,sis,29.650019,-82.344212,Sisler Hall Chemistry Research Bldg,academic,0,0
116,sma,29.650878000000002,-82.341791,Smathers Library,library,216,430
117,soc,29.649461,-82.351125,OConnell Center,unknown,868,10589
118,sta,29.649960999999998,-82.34951099999999,Ben Hill Griffin Stadium,sports,255,1264
119,stz,29.650832,-82.341177,Stuzin Hall,academic,151,892
120,stzWlkwy,29.650976,-82.340971,# Stuzin Hall Walk Way,unknown,134,407
121,swc,29.638378000000003,-82.368414,SW Recreation Center,sports,457,4582
122,tge,29.639601000000003,-82.360412,Turfgrass Envirotron,academic,2,50
123,tig,29.649396999999997,-82.339815,Tigert Hall,admin,33,62
124,tur,29.649333000000002,-82.343903,Turlington Hall,academic,623,3260
125,urbe,29.633778000000003,-82.366198,Urban Entomology,academic,4,4
126,ust,29.650446999999996,-82.346867,Ustler Hall,academic,358,1123
127,van,29.648549,-82.351042,Van Fleet Hall,admin,176,711
128,wal,29.649455,-82.34158199999999,Walker Hall,academic,108,175
129,wei,29.648418,-82.348606,Weil Hall,academic,364,1594
130,weiclocktower,29.648398999999998,-82.349265,Clock Tower,social,1170,3970
131,weim,29.647761,-82.347342,Wiemer Hall,academic,207,1238
132,wm,29.648052000000003,-82.34670899999999,Williamson Hall,academic,119,441
133,yon,29.649967999999998,-82.347888,Yon Hall,academic,733,5447
134,pgsv,29.650619,-82.351678,Parking Garage 7,parking,901,0
135,ffp,29.645631,-82.353482,Flavet Field Parking,parking,902,0
136,clo,29.642377,-82.351259,Commuter Lot,parking,903,0
137,pgth,29.638622,-82.347736,Parking Garage 3,parking,904,0
138,pgtw,29.638976,-82.346742,Parking Garage 2,parking,905,0
139,pgni,29.636174,-82.349107,Parking Garage 9,parking,906,0
140,vmp,29.634438,-82.350347,Veterinary Medicine Parking,parking,907,0
141,lpg,29.635580,-82.347216,Liberty Parking Garage,parking,908,0
142,fhp,29.637943,-82.362383,Fifield Hall Parking,parking,909,0
143,pgel,29.637104,-82.368677,Parking Garage 11,parking,910,0
144,llp,29.649129,-82.359836,Levin Law School Lot,parking,911,0
145,tcp,29.648437,-82.358455,Alfred A. Ring Lot,parking,912,0
146,frp,29.647584,-82.357686,Frat Row Parking,parking,913,0
147,rup,29.644356,-82.347569,Reitz Union Parking,parking,914,0
148,frhp,29.644587,-82.346208,Frazier-Rodgers Hall Parking,parking,915,0
149,pgfo,29.645216,-82.342721,Parking Garage 4,parking,916,0
150,pgni,29.645585,-82.337458,Parking Garage 8,parking,917,0
151,pgte,29.640577,-82.341669,Parking Garage 10,parking,918,0
152,vapg,29.638448,-82.343745,VA Parking Garage,parking,919,0
153,chp,29.649946,-82.340708,Criser Hall Parking,parking,920,0
154,dop,29.651784,-82.346091,Murphee Hall Parking,parking,921,0


